date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2018-03-06,LPRO,9.65,9.65,9.65,9.65,9.65,5000,0.0,1.0
2018-03-26,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-03-27,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-03-28,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-03-29,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-02,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-03,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-04,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-05,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-06,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-09,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-10,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-11,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-12,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-13,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-16,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-17,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-18,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-19,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-20,LPRO,9.65,9.65,9.65,9.65,9.65,51000,0.0,1.0
2018-04-23,LPRO,9.65,9.65,9.65,9.65,9.65,51000,0.0,1.0
2018-04-24,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-25,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-26,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-27,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-04-30,LPRO,9.65,9.65,9.65,9.65,9.65,2,0.0,1.0
2018-05-01,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-05-02,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-05-03,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-05-04,LPRO,9.65,9.65,9.65,9.65,9.65,2,0.0,1.0
2018-05-07,LPRO,9.65,9.65,9.65,9.65,9.65,0,0.0,1.0
2018-05-08,LPRO,9.65,9.65,9.65,9.65,9.65,2,0.0,1.0
