date,ticker,volume
2020-09-23,ASPL,0
2020-09-24,ASPL,0
2020-09-25,ASPL,0
2020-09-28,ASPL,0
2020-09-29,ASPL,0
2020-09-30,ASPL,0
2020-10-01,ASPL,0
2020-10-02,ASPL,0
2020-10-05,ASPL,0
2020-10-06,ASPL,0
2020-10-07,ASPL,0
2020-10-08,ASPL,0
2020-10-09,ASPL,0
2020-10-12,ASPL,0
2020-10-13,ASPL,0
2020-10-14,ASPL,0
2020-10-15,ASPL,0
2020-10-16,ASPL,0
2020-10-19,ASPL,0
2020-10-20,ASPL,0
2020-10-21,ASPL,0
2020-10-22,ASPL,0
2020-10-23,ASPL,0
2020-10-26,ASPL,0
2020-10-27,ACIC,40300
2020-10-27,ASPL,0
2020-10-28,ACIC,88200
2020-10-28,ASPL,0
2020-10-29,ACIC,51400
2020-10-29,ASPL,0
2020-10-30,ACIC,63400
2020-10-30,ASPL,0
2020-11-02,ACIC,43600
2020-11-02,ASPL,0
2020-11-03,ACIC,74600
2020-11-03,ASPL,15000
2020-11-04,ACIC,66900
2020-11-04,ASPL,0
2020-11-05,ACIC,36300
2020-11-05,ASPL,0
2020-11-06,ACIC,64800
2020-11-06,ASPL,0
2020-11-09,ACIC,105900
2020-11-09,ASPL,0
2020-11-10,ACIC,98400
2020-11-10,ASPL,0
2020-11-11,ACIC,73600
2020-11-11,ASPL,0
2020-11-12,ACIC,94600
2020-11-12,ASPL,0
2020-11-12,PMVC,55907
2020-11-13,ACIC,91700
2020-11-13,ASPL,0
2020-11-13,PMVC,100400
2020-11-16,ACIC,100100
2020-11-16,ASPL,0
2020-11-16,PMVC,5600
2020-11-17,ACIC,132700
2020-11-17,ASPL,0
2020-11-17,PMVC,6081
2020-11-18,ACIC,461800
2020-11-18,ASPL,0
2020-11-18,PMVC,0
2020-11-19,ACIC,299700
2020-11-19,ASPL,0
2020-11-19,PMVC,1000
2020-11-20,ACIC,366900
2020-11-20,ASPL,0
2020-11-20,PMVC,9003
2020-11-23,ACIC,177400
2020-11-23,ASPL,0
2020-11-23,PMVC,7397
2020-11-24,ACIC,372200
2020-11-24,ASPL,0
2020-11-24,PMVC,0
2020-11-25,ACIC,147400
2020-11-25,ASPL,0
2020-11-25,PMVC,103096
2020-11-27,ACIC,93200
2020-11-27,ASPL,0
2020-11-27,PMVC,3031
2020-11-30,ACIC,448900
2020-11-30,ASPL,0
2020-11-30,PMVC,336
2020-12-01,ACIC,201600
2020-12-01,ASPL,1250
2020-12-01,PMVC,24955
2020-12-02,ACIC,164300
2020-12-02,ASPL,0
2020-12-02,PMVC,58437
2020-12-03,ACIC,81700
2020-12-03,ASPL,0
2020-12-03,PMVC,16360
2020-12-04,ACIC,155900
2020-12-04,ASPL,0
2020-12-04,PMVC,272360
2020-12-07,ACIC,114600
2020-12-07,ASPL,0
2020-12-07,PMVC,192555
2020-12-08,ACIC,116200
2020-12-08,ASPL,0
2020-12-08,PMVC,120101
2020-12-09,ACIC,83800
2020-12-09,ASPL,0
2020-12-09,PMVC,14463
2020-12-10,ACIC,108300
2020-12-10,ASPL,0
2020-12-10,PMVC,32111
2020-12-11,ACIC,306900
2020-12-11,ASPL,0
2020-12-11,PMVC,62812
2020-12-14,ACIC,324600
2020-12-14,ASPL,0
2020-12-14,PMVC,110786
2020-12-15,ACIC,197100
2020-12-15,ASPL,0
2020-12-15,PMVC,30894
2020-12-16,ACIC,148500
2020-12-16,ASPL,0
2020-12-16,PMVC,4194
2020-12-17,ACIC,139000
2020-12-17,ASPL,0
2020-12-17,PMVC,23850
2020-12-18,ACIC,567800
2020-12-18,ASPL,0
2020-12-18,PMVC,8500
2020-12-21,ACIC,141700
2020-12-21,ASPL,0
2020-12-21,PMVC,86300
2020-12-22,ACIC,188500
2020-12-22,ASPL,0
2020-12-22,PMVC,11958
2020-12-23,ACIC,171800
2020-12-23,ASPL,0
2020-12-23,PMVC,17191
2020-12-24,ACIC,136000
2020-12-24,ASPL,0
2020-12-24,PMVC,408
2020-12-28,ACIC,277200
2020-12-28,ASPL,0
2020-12-28,PMVC,171115
2020-12-29,ACIC,172800
2020-12-29,ASPL,0
2020-12-29,PMVC,107260
2020-12-30,ACIC,96800
2020-12-30,ASPL,0
2020-12-30,PMVC,70636
2020-12-31,ACIC,146700
2020-12-31,ASPL,0
2020-12-31,PMVC,18007
2021-01-04,ACIC,174300
2021-01-04,ASPL,0
2021-01-04,PMVC,182023
2021-01-05,ACIC,127700
2021-01-05,ASPL,0
2021-01-05,PMVC,129908
2021-01-06,ACIC,180200
2021-01-06,ASPL,0
2021-01-06,PMVC,24587
2021-01-07,ACIC,160800
2021-01-07,ASPL,0
2021-01-07,PMVC,5385
2021-01-08,ACIC,72400
2021-01-08,ASPL,0
2021-01-08,PMVC,15489
2021-01-11,ACIC,121800
2021-01-11,ASPL,0
2021-01-11,PMVC,31346
2021-01-12,ACIC,112300
2021-01-12,ASPL,0
2021-01-12,PMVC,79477
2021-01-13,ACIC,85300
2021-01-13,ASPL,0
2021-01-13,PMVC,45248
2021-01-14,ACIC,84900
2021-01-14,ASPL,0
2021-01-14,PMVC,114563
2021-01-15,ACIC,98400
2021-01-15,ASPL,0
2021-01-15,PMVC,31567
2021-01-19,ACIC,110200
2021-01-19,ASPL,0
2021-01-19,PMVC,120838
2021-01-20,ACIC,101400
2021-01-20,ASPL,0
2021-01-20,PMVC,16213
2021-01-21,ACIC,116900
2021-01-21,ASPL,0
2021-01-21,PMVC,8182
2021-01-22,ACIC,103800
2021-01-22,ASPL,0
2021-01-22,PMVC,44845
2021-01-25,ACIC,108300
2021-01-25,ASPL,0
2021-01-25,PMVC,57737
2021-01-26,ACIC,94900
2021-01-26,ASPL,0
2021-01-26,PMVC,39199
2021-01-27,ACIC,125800
2021-01-27,ASPL,0
2021-01-27,PMVC,148798
2021-01-28,ACIC,154600
2021-01-28,ASPL,0
2021-01-28,PMVC,224699
2021-01-29,ACIC,101100
2021-01-29,ASPL,0
2021-01-29,PMVC,3386
2021-02-01,ACIC,99100
2021-02-01,ASPL,0
2021-02-01,PMVC,26097
2021-02-02,ACIC,111700
2021-02-02,ASPL,0
2021-02-02,PMVC,41696
2021-02-03,ACIC,53300
2021-02-03,ASPL,0
2021-02-03,PMVC,12635
2021-02-04,ACIC,60300
2021-02-04,ASPL,0
2021-02-04,PMVC,5219
2021-02-05,ACIC,85500
2021-02-05,ASPL,0
2021-02-05,PMVC,3438
2021-02-08,ACIC,64900
2021-02-08,ASPL,0
2021-02-08,PMVC,89027
2021-02-09,ACIC,88900
2021-02-09,ASPL,0
2021-02-09,PMVC,20422
