date,ticker,action
2023-07-03,ABL,Listed De-SPAC
2023-07-03,PMGM,Merger Vote
2023-07-05,GLTA,Merger Vote
2023-07-06,LZM,Listed De-SPAC
2023-07-10,MRT,Listed De-SPAC
2023-07-11,ADEX,Extension Vote
2023-07-11,ALPA,Merger Vote
2023-07-11,FACT,Merger Vote
2023-07-13,BSAQ,Extension Vote
2023-07-14,BOWN,Priced SPAC IPO
2023-07-14,NETD,Priced SPAC IPO
2023-07-14,WNNR,Extension Vote
2023-07-14,XAGE,Listed De-SPAC
2023-07-14,ZPTA,Extension Vote
2023-07-17,IPXX,Est. Split
2023-07-17,SPWR,Listed De-SPAC
2023-07-17,UPTD,Extension Vote
2023-07-18,CLAY,Extension Vote
2023-07-18,TRIS,Extension Vote
2023-07-19,CLBR2,Merger Vote
2023-07-19,PSQH,Listed De-SPAC
2023-07-20,BRLI,Extension Vote
2023-07-20,KNSW,Extension Vote
2023-07-21,AEON,Listed De-SPAC
2023-07-21,ESHA,Est. Split
2023-07-21,PFTA,Extension Vote
2023-07-24,OPA,Extension Vote
2023-07-24,WRAC,Extension Vote
2023-07-25,TLGA,Merger Vote
2023-07-26,CHEA,Extension Vote
2023-07-26,GENQ,Merger Vote
2023-07-26,KVAC,Priced SPAC IPO
2023-07-26,SELX,Extension Vote
2023-07-27,ATAK,Extension Vote
2023-07-27,DHAI,Extension Vote
2023-07-27,HYAC,Priced SPAC IPO
2023-07-28,CPUH,Merger Vote
2023-07-28,NSTB,Extension Vote
2023-07-31,UPTD,Merger Vote
