date,ticker,action
2025-03-04,IRAA,Merger Vote
2025-03-06,RCFAF,Merger Vote
2025-03-07,BNIX,Extension Vote
2025-03-07,IPEX,Est. Split
2025-03-08,RIBB,Est. Split
2025-03-10,IPXX,Merger Vote
2025-03-13,KFII,Est. Split
2025-03-14,USAR,Listed De-SPAC
2025-03-17,COLA,Est. Split
2025-03-18,QSEA,Priced SPAC IPO
2025-03-21,GSHR,Priced SPAC IPO
2025-03-21,NVAC,Extension Vote
2025-03-24,SVCC,Est. Split
2025-03-25,GATE,Merger Vote
2025-03-26,DSAQ,Extension Vote
2025-03-27,AIMTF,Merger Vote
2025-03-28,FNVTF,Merger Vote
2025-03-28,INTE,Merger Vote
2025-03-28,SKGR,Extension Vote
2025-03-30,SKGR,Merger Vote
2025-03-31,BUJA,Merger Vote
2025-03-31,UYSC,Priced SPAC IPO
