date,ticker,action
2025-04-01,SDHI,Priced SPAC IPO
2025-04-02,SOUL,Priced SPAC IPO
2025-04-02,SZZL,Priced SPAC IPO
2025-04-03,ATII,Est. Split
2025-04-07,AACB,Est. Split
2025-04-07,BHAC,Extension Vote
2025-04-07,KIDZ,Listed De-SPAC
2025-04-08,MGTE,Listed De-SPAC
2025-04-09,TACH,Priced SPAC IPO
2025-04-11,BULL,Listed De-SPAC
2025-04-11,DNQAF,Extension Vote
2025-04-15,TLGYF,Extension Vote
2025-04-16,CDAQF,Extension Vote
2025-04-17,NHIC,Est. Split
2025-04-21,FERA,Est. Split
2025-04-21,LOKV,Est. Split
2025-04-21,RAC,Est. Split
2025-04-22,AACT,Extension Vote
2025-04-23,AEAE,Extension Vote
2025-04-23,TVACU,Priced SPAC IPO
2025-04-24,NPAC,Priced SPAC IPO
2025-04-25,CHAC,Priced SPAC IPO
2025-04-25,IPCX,Priced SPAC IPO
2025-04-25,PHYTF,Extension Vote
2025-04-29,DAAQ,Priced SPAC IPO
2025-04-29,RAAQ,Priced SPAC IPO
2025-04-30,LCCC,Priced SPAC IPO
2025-04-30,SWSS,Extension Vote
2025-04-30,TACO,Priced SPAC IPO
