date,ticker,action
2022-07-01,MCAC,Est. Split
2022-07-06,PNAC,Est. Split
2022-07-07,BENE,Extension Vote
2022-07-08,LJAQ,Extension Vote
2022-07-11,DNAC,Merger Vote
2022-07-12,PROK,Listed De-SPAC
2022-07-13,GLSPT,Extension Vote
2022-07-13,GLSPT,Merger Vote
2022-07-13,GRRR,Listed De-SPAC
2022-07-15,ACTD,Merger Vote
2022-07-15,BRPM,Merger Vote
2022-07-15,ITHX,Merger Vote
2022-07-18,CLAQ,Extension Vote
2022-07-18,MONDQ,Listed De-SPAC
2022-07-19,FAZE,Listed De-SPAC
2022-07-19,PRPB,Merger Vote
2022-07-21,OPAL,Listed De-SPAC
2022-07-22,GETY,Listed De-SPAC
2022-07-25,WALD2,Merger Vote
2022-07-26,HSAQ,Extension Vote
2022-07-27,BCAC,Merger Vote
2022-07-27,DSAC,Merger Vote
2022-07-27,SCVX,Extension Vote
2022-07-27,WALD,Listed De-SPAC
2022-07-28,CHWA,Merger Vote
2022-07-29,NOTE,Listed De-SPAC
