date,ticker,action
2022-11-01,OABI,Listed De-SPAC
2022-11-01,PKBO,Listed De-SPAC
2022-11-03,HPX,Extension Vote
2022-11-09,ESSC,Merger Vote
2022-11-09,VCKA,Merger Vote
2022-11-10,GLST,Est. Split
2022-11-10,LAX,Merger Vote
2022-11-10,PLTN,Priced SPAC IPO
2022-11-10,SCLX,Listed De-SPAC
2022-11-10,VENA,Extension Vote
2022-11-11,AIIO,Listed De-SPAC
2022-11-14,AGBA,Listed De-SPAC
2022-11-14,LMACA,Extension Vote
2022-11-15,ARBG,Extension Vote
2022-11-15,TINV,Merger Vote
2022-11-17,ACEV,Merger Vote
2022-11-17,EUDA,Listed De-SPAC
2022-11-17,GLBL,Merger Vote
2022-11-17,IACC,Extension Vote
2022-11-17,MCAE,Extension Vote
2022-11-18,GRND,Listed De-SPAC
2022-11-18,PTIC,Merger Vote
2022-11-21,DMYY,Est. Split
2022-11-21,OHPA,Extension Vote
2022-11-22,ASZ,Extension Vote
2022-11-22,AUS,Extension Vote
2022-11-22,FVIV,Extension Vote
2022-11-22,FVT,Extension Vote
2022-11-22,NAMS,Listed De-SPAC
2022-11-22,POND,Merger Vote
2022-11-23,GBRG,Extension Vote
2022-11-23,TMPOQ,Listed De-SPAC
2022-11-25,QOMO,Est. Split
2022-11-29,SBII,Extension Vote
2022-11-29,SFRT,Listed De-SPAC
2022-11-29,TSIB,Extension Vote
2022-11-30,PAFO,Merger Vote
2022-11-30,TMAC,Extension Vote
