date,ticker,action
2024-12-02,BACQ,Est. Split
2024-12-02,CCIR,Est. Split
2024-12-02,RDAC,Est. Split
2024-12-04,APXIF,Extension Vote
2024-12-04,TAVI,Priced SPAC IPO
2024-12-05,PGAC,Priced SPAC IPO
2024-12-05,THCP,Merger Vote
2024-12-06,INAQ,Extension Vote
2024-12-06,KACLF,Extension Vote
2024-12-06,TNMG,Listed De-SPAC
2024-12-09,BRKH,Extension Vote
2024-12-09,ETHM,Est. Split
2024-12-09,NUAI,Listed De-SPAC
2024-12-10,JACS,Priced SPAC IPO
2024-12-10,PRLH,Extension Vote
2024-12-11,CNCK,Listed De-SPAC
2024-12-12,IVCP,Merger Vote
2024-12-12,MARX,Merger Vote
2024-12-13,ALDF,Est. Split
2024-12-13,DRDB,Priced SPAC IPO
2024-12-13,MLAC,Priced SPAC IPO
2024-12-16,AMOD,Listed De-SPAC
2024-12-16,ANNA,Listed De-SPAC
2024-12-16,BEAG,Est. Split
2024-12-16,OACC,Est. Split
2024-12-17,FLDD,Extension Vote
2024-12-19,GSRT,Est. Split
2024-12-20,FACT,Est. Split
2024-12-20,IRAA,Extension Vote
2024-12-20,RANG,Priced SPAC IPO
2024-12-20,TAVI,Est. Split
2024-12-23,BRKH,Merger Vote
2024-12-23,LATG,Merger Vote
2024-12-23,MITA,Extension Vote
2024-12-23,MITA,Merger Vote
2024-12-23,TDAC,Priced SPAC IPO
2024-12-27,NTWO,Est. Split
2024-12-28,AOGO,Extension Vote
2024-12-30,IMAQ,Extension Vote
2024-12-30,WLAC,Est. Split
