date,ticker,action
2024-11-01,BACQ,Priced SPAC IPO
2024-11-01,NPAB,Extension Vote
2024-11-01,NTWO,Priced SPAC IPO
2024-11-04,FRLA,Extension Vote
2024-11-04,FVN,Est. Split
2024-11-07,ACAB,Merger Vote
2024-11-07,DEVS,Listed De-SPAC
2024-11-07,GSRT,Priced SPAC IPO
2024-11-08,ASPC,Priced SPAC IPO
2024-11-08,GBBK,Extension Vote
2024-11-08,WLAC,Priced SPAC IPO
2024-11-08,YHNA,Est. Split
2024-11-12,BLAC,Extension Vote
2024-11-13,ABP,Listed De-SPAC
2024-11-13,PORT,Extension Vote
2024-11-13,RCFAF,Extension Vote
2024-11-14,DIST,Extension Vote
2024-11-14,GLACF,Extension Vote
2024-11-15,HSPT,Priced SPAC IPO
2024-11-18,IPXX,Extension Vote
2024-11-20,RMSG,Listed De-SPAC
2024-11-21,ETHM,Priced SPAC IPO
2024-11-21,NOEM,Priced SPAC IPO
2024-11-22,AITR,Extension Vote
2024-11-22,ELPW,Listed De-SPAC
2024-11-22,EVCO,Extension Vote
2024-11-26,CHAR,Est. Split
2024-11-26,FACT,Priced SPAC IPO
2024-11-26,JWSMF,Extension Vote
2024-11-26,ROCL,Merger Vote
2024-11-27,BOCN,Merger Vote
2024-11-27,GLST,Extension Vote
2024-11-29,LPBB,Est. Split
2024-11-29,ROCL,Extension Vote
