date,ticker,action
2023-11-01,RMCO,Listed De-SPAC
2023-11-02,AAC,Extension Vote
2023-11-02,ACAX,Extension Vote
2023-11-02,CAUD,Listed De-SPAC
2023-11-02,WWAC,Merger Vote
2023-11-03,CNXX,Extension Vote
2023-11-03,CONX,Extension Vote
2023-11-03,CREV,Listed De-SPAC
2023-11-03,QFTA,Merger Vote
2023-11-06,ADOC,Extension Vote
2023-11-06,COOT,Extension Vote
2023-11-06,DHAC,Extension Vote
2023-11-07,AERT,Listed De-SPAC
2023-11-07,CNDB,Extension Vote
2023-11-07,GCTS,Extension Vote
2023-11-07,ONMD,Listed De-SPAC
2023-11-07,OPTX,Listed De-SPAC
2023-11-09,AITR,Priced SPAC IPO
2023-11-09,ANSC,Priced SPAC IPO
2023-11-13,HNRA,Merger Vote
2023-11-13,RWOD,Extension Vote
2023-11-14,GLACF,Priced SPAC IPO
2023-11-14,HNRA,Extension Vote
2023-11-15,CAPT,Listed De-SPAC
2023-11-15,EONR,Listed De-SPAC
2023-11-17,BMAC,Extension Vote
2023-11-20,MCAF,Merger Vote
2023-11-20,QDRO,Extension Vote
2023-11-21,CLBR,Priced SPAC IPO
2023-11-21,SAGA,Extension Vote
2023-11-24,CLIN,Extension Vote
2023-11-27,SPKL,Est. Split
2023-11-28,PACI,Merger Vote
2023-11-29,IOAC,Extension Vote
2023-11-29,XBP,Listed De-SPAC
2023-11-30,ADEX,Merger Vote
2023-11-30,DUNE,Merger Vote
2023-11-30,QETA,Est. Split
