date,ticker,action
2023-01-01,PLTN,Est. Split
2023-01-03,ALTI,Listed De-SPAC
2023-01-04,CENQ,Merger Vote
2023-01-04,MMVVF,Listed De-SPAC
2023-01-04,RNER,Merger Vote
2023-01-05,PRSR,Extension Vote
2023-01-06,INKA,Extension Vote
2023-01-12,JATT,Extension Vote
2023-01-13,ISRLF,Priced SPAC IPO
2023-01-13,PNTM,Extension Vote
2023-01-18,ADRA,Merger Vote
2023-01-18,FOXW,Extension Vote
2023-01-19,ATMC,Est. Split
2023-01-19,BIOT,Extension Vote
2023-01-20,ERES,Extension Vote
2023-01-23,DCRD,Merger Vote
2023-01-24,BAER,Listed De-SPAC
2023-01-24,HSAQ,Merger Vote
2023-01-24,JCIC,Merger Vote
2023-01-25,ATMV,Est. Split
2023-01-25,CRGO,Listed De-SPAC
2023-01-25,DHHC,Extension Vote
2023-01-25,GIAC,Merger Vote
2023-01-26,MURF,Extension Vote
2023-01-26,OBIO,Listed De-SPAC
2023-01-27,PONO,Merger Vote
2023-01-27,TOAC,Extension Vote
2023-01-30,DTRT,Extension Vote
2023-01-30,LION3,Merger Vote
2023-01-31,BURU,Listed De-SPAC
2023-01-31,CPAR,Extension Vote
2023-01-31,SCMA,Extension Vote
