date,ticker,action
2021-07-01,AVPT,Listed De-SPAC
2021-07-01,EVGO,Listed De-SPAC
2021-07-01,FICV,Priced SPAC IPO
2021-07-01,SHCR,Listed De-SPAC
2021-07-02,ALIT,Listed De-SPAC
2021-07-03,ORIA,Est. Split
2021-07-04,OSI,Est. Split
2021-07-05,ARTA,Est. Split
2021-07-07,ALCC,Priced SPAC IPO
2021-07-07,RICO,Priced SPAC IPO
2021-07-08,ACRO,Priced SPAC IPO
2021-07-08,MCAE,Est. Split
2021-07-08,SPRQ,Merger Vote
2021-07-09,CPAR,Est. Split
2021-07-09,GIW,Est. Split
2021-07-09,GLTA,Priced SPAC IPO
2021-07-09,POND,Est. Split
2021-07-09,RAM,Est. Split
2021-07-09,SKYA,Est. Split
2021-07-09,SUNL,Listed De-SPAC
2021-07-09,TE,Listed De-SPAC
2021-07-11,GFOR,Est. Split
2021-07-12,ARYE,Priced SPAC IPO
2021-07-12,ASPL,Merger Vote
2021-07-12,GWII,Priced SPAC IPO
2021-07-12,RSVA,Merger Vote
2021-07-13,AONE,Merger Vote
2021-07-13,LCY,Merger Vote
2021-07-13,UP,Listed De-SPAC
2021-07-14,CLAQ,Priced SPAC IPO
2021-07-14,EMPW,Merger Vote
2021-07-14,ENVX,Listed De-SPAC
2021-07-14,HLMN,Listed De-SPAC
2021-07-14,JATT,Priced SPAC IPO
2021-07-14,MKFG,Listed De-SPAC
2021-07-14,SBG,Merger Vote
2021-07-14,UPTD,Priced SPAC IPO
2021-07-15,APAC,Priced SPAC IPO
2021-07-15,BSAQ,Priced SPAC IPO
2021-07-15,DCRB,Merger Vote
2021-07-15,FWAC,Est. Split
2021-07-15,NHIC,Merger Vote
2021-07-15,OWLT,Listed De-SPAC
2021-07-15,TWCB,Priced SPAC IPO
2021-07-16,CELU,Listed De-SPAC
2021-07-16,DYNS,Est. Split
2021-07-16,FGNA,Merger Vote
2021-07-16,HLLY,Listed De-SPAC
2021-07-16,HYZN,Listed De-SPAC
2021-07-16,PSPC,Est. Split
2021-07-17,EGGF,Est. Split
2021-07-19,CLOE,Priced SPAC IPO
2021-07-19,EVLV,Listed De-SPAC
2021-07-19,TRTLF,Priced SPAC IPO
2021-07-20,ACND,Merger Vote
2021-07-20,CLAY,Priced SPAC IPO
2021-07-20,GHVI,Merger Vote
2021-07-20,OPFI,Listed De-SPAC
2021-07-20,PFTA,Priced SPAC IPO
2021-07-20,PSAC,Merger Vote
2021-07-20,RAAC,Merger Vote
2021-07-20,SNAX,Listed De-SPAC
2021-07-21,BGRY,Listed De-SPAC
2021-07-21,CMLF,Merger Vote
2021-07-21,FFAI,Listed De-SPAC
2021-07-21,VCVC,Merger Vote
2021-07-22,MKTW,Listed De-SPAC
2021-07-22,MTTR,Listed De-SPAC
2021-07-22,REE,Listed De-SPAC
2021-07-22,WGS,Listed De-SPAC
2021-07-23,BLNG,Priced SPAC IPO
2021-07-23,CCIV,Merger Vote
2021-07-23,LCID,Listed De-SPAC
2021-07-26,ALPA,Priced SPAC IPO
2021-07-26,MVST,Listed De-SPAC
2021-07-26,WRAC,Priced SPAC IPO
2021-07-27,CAP,Merger Vote
2021-07-27,DALS,Priced SPAC IPO
2021-07-27,PLMJF,Priced SPAC IPO
2021-07-27,ROCC,Merger Vote
2021-07-27,SEPA,Priced SPAC IPO
2021-07-28,DOMA,Listed De-SPAC
2021-07-28,IMAQ,Priced SPAC IPO
2021-07-28,MTAL,Priced SPAC IPO
2021-07-28,NEBC,Merger Vote
2021-07-28,RSVR,Listed De-SPAC
2021-07-28,SVAC,Merger Vote
2021-07-28,SWAG,Priced SPAC IPO
2021-07-29,CYXTQ,Listed De-SPAC
2021-07-29,DGNR,Merger Vote
2021-07-29,RMGB,Merger Vote
2021-07-29,RTPZ,Merger Vote
2021-07-30,GACQ,Est. Split
2021-07-30,ROVR,Listed De-SPAC
2021-07-30,SPK,Est. Split
2021-07-30,ZLSSF,Priced SPAC IPO
2021-07-31,BSGA,Est. Split
2021-07-31,CLBR2,Est. Split
2021-07-31,ISAA,Est. Split
2021-07-31,SMIH,Est. Split
