date,ticker,action
2023-03-02,AGAC,Extension Vote
2023-03-02,DTOC,Extension Vote
2023-03-02,LOKM,Extension Vote
2023-03-02,OCS,Listed De-SPAC
2023-03-03,AMBIQ,Listed De-SPAC
2023-03-03,ARCK,Extension Vote
2023-03-03,FRXB,Extension Vote
2023-03-03,FZT,Extension Vote
2023-03-06,ATAQ,Extension Vote
2023-03-06,GEEX,Extension Vote
2023-03-06,TRCA,Extension Vote
2023-03-07,FMIV,Extension Vote
2023-03-07,MBAC,Extension Vote
2023-03-07,SMX,Listed De-SPAC
2023-03-08,PIAI,Extension Vote
2023-03-08,VAQC,Extension Vote
2023-03-09,SBXC,Priced SPAC IPO
2023-03-10,GXII,Merger Vote
2023-03-10,KINZ,Merger Vote
2023-03-10,LCAA,Extension Vote
2023-03-10,LOT,Extension Vote
2023-03-10,SCAQ,Extension Vote
2023-03-10,SPKB,Extension Vote
2023-03-14,CCV,Extension Vote
2023-03-14,CXAI,Listed De-SPAC
2023-03-14,MARX,Est. Split
2023-03-14,SMIH,Merger Vote
2023-03-16,JATT,Merger Vote
2023-03-16,LSBCF,Listed De-SPAC
2023-03-16,TETC,Extension Vote
2023-03-17,BLAC,Est. Split
2023-03-17,NB,Listed De-SPAC
2023-03-20,INKA,Merger Vote
2023-03-20,JMAC,Merger Vote
2023-03-20,ZURA,Listed De-SPAC
2023-03-21,AMAO,Extension Vote
2023-03-21,FORL,Priced SPAC IPO
2023-03-23,DHHC,Merger Vote
2023-03-23,NIRLQ,Listed De-SPAC
2023-03-24,CETU,Est. Split
2023-03-28,OAKU,Priced SPAC IPO
2023-03-28,TMTC,Priced SPAC IPO
2023-03-29,APLM,Listed De-SPAC
2023-03-30,DIST,Est. Split
2023-03-30,TBMC,Priced SPAC IPO
2023-03-30,UHG,Listed De-SPAC
