date,ticker,action
2021-08-01,HCNE,Est. Split
2021-08-01,LAAA,Est. Split
2021-08-01,LITT,Est. Split
2021-08-02,CCCS,Listed De-SPAC
2021-08-02,HIPO,Listed De-SPAC
2021-08-02,HWEL,Priced SPAC IPO
2021-08-03,GRSV,Merger Vote
2021-08-04,AMBP,Listed De-SPAC
2021-08-04,AMCI2,Priced SPAC IPO
2021-08-04,BWC,Priced SPAC IPO
2021-08-04,GSDI,Priced SPAC IPO
2021-08-05,GSQB,Est. Split
2021-08-05,NOVV,Priced SPAC IPO
2021-08-05,PDAC,Merger Vote
2021-08-05,ROCG,Priced SPAC IPO
2021-08-05,RTP,Merger Vote
2021-08-05,RVAC,Priced SPAC IPO
2021-08-06,DILA,Est. Split
2021-08-06,RONI,Est. Split
2021-08-06,ZT,Est. Split
2021-08-07,TRON2,Est. Split
2021-08-08,JUGG,Est. Split
2021-08-09,AHPA,Priced SPAC IPO
2021-08-09,ASPA,Priced SPAC IPO
2021-08-09,BCTG,Merger Vote
2021-08-09,CPAA,Priced SPAC IPO
2021-08-10,CHFW,Merger Vote
2021-08-10,CNTQ,Priced SPAC IPO
2021-08-10,DCRD,Priced SPAC IPO
2021-08-10,JOBY,Listed De-SPAC
2021-08-10,LICYQ,Listed De-SPAC
2021-08-10,PONO,Priced SPAC IPO
2021-08-10,TNGX,Listed De-SPAC
2021-08-10,TPBA,Priced SPAC IPO
2021-08-10,VCXA,Priced SPAC IPO
2021-08-11,AFTR,Priced SPAC IPO
2021-08-11,NBA,Merger Vote
2021-08-11,OXAC,Priced SPAC IPO
2021-08-11,PPHP,Priced SPAC IPO
2021-08-11,RKLY,Listed De-SPAC
2021-08-11,SRZN,Listed De-SPAC
2021-08-11,WQGA,Priced SPAC IPO
2021-08-12,AACI2,Priced SPAC IPO
2021-08-12,CENQ,Priced SPAC IPO
2021-08-12,CFAC,Merger Vote
2021-08-12,KCGI,Priced SPAC IPO
2021-08-12,MNTS,Listed De-SPAC
2021-08-12,SAII,Merger Vote
2021-08-13,APMI,Priced SPAC IPO
2021-08-13,GPCO,Est. Split
2021-08-13,JAQC,Priced SPAC IPO
2021-08-13,MCOM,Listed De-SPAC
2021-08-13,MITA,Est. Split
2021-08-13,NSH,Merger Vote
2021-08-13,OTMO,Listed De-SPAC
2021-08-14,FTVI,Est. Split
2021-08-14,NLIT,Est. Split
2021-08-16,LIDR,Listed De-SPAC
2021-08-16,MIMOQ,Listed De-SPAC
2021-08-16,SPIR,Listed De-SPAC
2021-08-18,AJAX,Merger Vote
2021-08-18,KSMT,Merger Vote
2021-08-18,NGAC,Merger Vote
2021-08-19,EOCW,Est. Split
2021-08-19,WAVC,Priced SPAC IPO
2021-08-20,GOBI,Est. Split
2021-08-20,MCAF,Est. Split
2021-08-20,SHQA,Est. Split
2021-08-20,THCP,Est. Split
2021-08-20,VACQ,Merger Vote
2021-08-20,XOS,Listed De-SPAC
2021-08-21,CORS,Est. Split
2021-08-21,DNAA,Est. Split
2021-08-21,DNAB,Est. Split
2021-08-21,DNAC,Est. Split
2021-08-21,DNAD,Est. Split
2021-08-21,DRAY,Est. Split
2021-08-21,GGGV,Est. Split
2021-08-22,FICV,Est. Split
2021-08-23,AGILQ,Listed De-SPAC
2021-08-23,FWAA,Merger Vote
2021-08-23,RNW,Listed De-SPAC
2021-08-24,AHAC,Merger Vote
2021-08-24,LWAC,Merger Vote
2021-08-24,SMRT,Listed De-SPAC
2021-08-25,CCAI,Priced SPAC IPO
2021-08-25,EFTR,Listed De-SPAC
2021-08-25,GWAC,Merger Vote
2021-08-25,RKLB,Listed De-SPAC
2021-08-25,SNPR,Merger Vote
2021-08-25,SWSS,Priced SPAC IPO
2021-08-26,GDEV,Listed De-SPAC
2021-08-26,HUMA,Listed De-SPAC
2021-08-26,IRNT,Listed De-SPAC
2021-08-26,MEOA,Priced SPAC IPO
2021-08-26,VLTA,Listed De-SPAC
2021-08-27,BLUW2,Merger Vote
2021-08-27,CIFR,Listed De-SPAC
2021-08-27,CZOOF,Listed De-SPAC
2021-08-27,TWCT,Merger Vote
2021-08-28,ALCC,Est. Split
2021-08-28,RICO,Est. Split
2021-08-29,ACRO,Est. Split
2021-08-30,CHWA,Priced SPAC IPO
2021-08-30,CLBT,Listed De-SPAC
2021-08-30,GLTA,Est. Split
2021-08-30,REVE,Priced SPAC IPO
2021-08-31,CENH,Merger Vote
2021-08-31,CMII,Merger Vote
2021-08-31,SPNV,Merger Vote
