date,ticker,action
2020-06-03,NKLAQ,Listed De-SPAC
2020-06-05,ARYB,Priced SPAC IPO
2020-06-05,MCAC,Priced SPAC IPO
2020-06-09,HEC,Priced SPAC IPO
2020-06-10,LPRO,Listed De-SPAC
2020-06-13,IPOC,Est. Split
2020-06-15,CHAQ,Est. Split
2020-06-15,PCPL,Est. Split
2020-06-17,TREB,Priced SPAC IPO
2020-06-18,LGHL,Listed De-SPAC
2020-06-19,IPOB,Est. Split
2020-06-21,FVAC,Est. Split
2020-06-22,CGRO,Est. Split
2020-06-24,BRLI,Priced SPAC IPO
2020-06-25,FREE,Listed De-SPAC
2020-06-26,FUSE2,Priced SPAC IPO
2020-06-26,KCAC,Priced SPAC IPO
2020-06-26,ROCH,Est. Split
2020-06-27,LOAK,Est. Split
2020-06-27,SOAC,Est. Split
2020-06-30,GSAH,Priced SPAC IPO
