date,ticker,action
2022-12-01,ACII,Extension Vote
2022-12-01,OEPW,Extension Vote
2022-12-02,FSSI,Extension Vote
2022-12-02,LAAA,Merger Vote
2022-12-02,NDAC,Extension Vote
2022-12-02,RACB,Extension Vote
2022-12-02,REVH,Extension Vote
2022-12-05,BSGA,Extension Vote
2022-12-05,HUDA,Est. Split
2022-12-06,MACC,Extension Vote
2022-12-06,OSAPQ,Listed De-SPAC
2022-12-06,SCLE,Extension Vote
2022-12-07,CLRM,Extension Vote
2022-12-07,IPVA,Merger Vote
2022-12-07,LHAA,Extension Vote
2022-12-08,AFAC,Extension Vote
2022-12-08,CLIM,Extension Vote
2022-12-08,DHBC,Extension Vote
2022-12-08,GETR,Listed De-SPAC
2022-12-08,LSPR,Merger Vote
2022-12-08,SHAC,Extension Vote
2022-12-08,TENK,Est. Split
2022-12-08,ZWRK,Extension Vote
2022-12-09,FXCO,Extension Vote
2022-12-09,KINZ,Extension Vote
2022-12-09,MLGO,Listed De-SPAC
2022-12-09,PV,Merger Vote
2022-12-09,SNRH,Extension Vote
2022-12-09,SSAA,Extension Vote
2022-12-09,VTIQ,Extension Vote
2022-12-12,BLTS,Extension Vote
2022-12-12,BSKY,Extension Vote
2022-12-12,GGMC,Extension Vote
2022-12-12,KAHC,Extension Vote
2022-12-12,MTAC,Extension Vote
2022-12-12,ZVSA,Listed De-SPAC
2022-12-13,OLIT,Extension Vote
2022-12-13,VELO2,Extension Vote
2022-12-14,ADER,Extension Vote
2022-12-14,AMPI,Extension Vote
2022-12-14,COVA,Merger Vote
2022-12-14,CTAQ,Extension Vote
2022-12-14,JOFF,Extension Vote
2022-12-14,LANV,Listed De-SPAC
2022-12-14,LGV,Extension Vote
2022-12-14,MON,Extension Vote
2022-12-14,OSI,Extension Vote
2022-12-15,AAQC,Extension Vote
2022-12-15,GHAC,Extension Vote
2022-12-15,GSEV,Extension Vote
2022-12-15,RXRA,Extension Vote
2022-12-15,SPGS,Extension Vote
2022-12-15,TSPQ,Extension Vote
2022-12-16,FACA,Extension Vote
2022-12-16,GLHA,Extension Vote
2022-12-16,HTCO,Listed De-SPAC
2022-12-16,KLAQ,Extension Vote
2022-12-19,AFAQ,Extension Vote
2022-12-19,DNZ,Extension Vote
2022-12-19,ISAA,Extension Vote
2022-12-19,MRDB,Listed De-SPAC
2022-12-20,ARGU,Extension Vote
2022-12-20,ATMV,Priced SPAC IPO
2022-12-20,CLAS,Extension Vote
2022-12-20,COLI,Extension Vote
2022-12-20,ECX,Listed De-SPAC
2022-12-20,EPHY,Extension Vote
2022-12-20,NHIC,Extension Vote
2022-12-20,PRBM,Extension Vote
2022-12-20,ROCG,Extension Vote
2022-12-20,SEPA,Extension Vote
2022-12-20,SHCA,Extension Vote
2022-12-20,SPTK,Extension Vote
2022-12-21,APNC,Extension Vote
2022-12-21,BLNG,Extension Vote
2022-12-21,EQHA,Extension Vote
2022-12-21,GNAC,Extension Vote
2022-12-21,IPVI,Extension Vote
2022-12-21,RCLF,Extension Vote
2022-12-21,SHQA,Extension Vote
2022-12-22,ASAX,Extension Vote
2022-12-22,HSPOF,Priced SPAC IPO
2022-12-22,PSAG,Extension Vote
2022-12-23,EVOJ,Extension Vote
2022-12-27,HUGS,Extension Vote
2022-12-27,LJAQ,Merger Vote
2022-12-27,TWND,Merger Vote
2022-12-28,MPAC,Merger Vote
2022-12-29,GIIX,Extension Vote
2022-12-29,MDH,Extension Vote
2022-12-30,ATMC,Priced SPAC IPO
2022-12-30,MLEC,Listed De-SPAC
