date,ticker,action
2025-08-01,AXIN,Est. Split
2025-08-01,HCMA,Priced SPAC IPO
2025-08-04,BACC,Est. Split
2025-08-04,HLXB,Merger Vote
2025-08-06,BYNO,Extension Vote
2025-08-06,QUMS,Priced SPAC IPO
2025-08-07,BSAA,Est. Split
2025-08-08,PLBL,Listed De-SPAC
2025-08-08,RRACF,Extension Vote
2025-08-08,SSEA,Priced SPAC IPO
2025-08-11,EMCGF,Extension Vote
2025-08-12,BBOT,Listed De-SPAC
2025-08-12,CCIR,Merger Vote
2025-08-12,HVMC,Priced SPAC IPO
2025-08-12,MKLY,Priced SPAC IPO
2025-08-14,BRZH,Merger Vote
2025-08-14,FTII,Extension Vote
2025-08-15,KYIV,Listed De-SPAC
2025-08-15,OBA,Est. Split
2025-08-15,PACH,Est. Split
2025-08-16,LWACU,Est. Split
2025-08-17,CAEP,Est. Split
2025-08-18,FIGX,Est. Split
2025-08-19,IGTA,Merger Vote
2025-08-20,BCAR,Est. Split
2025-08-20,TETEF,Extension Vote
2025-08-21,CEPF,Priced SPAC IPO
2025-08-21,DYCQ,Extension Vote
2025-08-22,CCII,Est. Split
2025-08-22,EVAC,Est. Split
2025-08-22,VNME,Est. Split
2025-08-25,PORT,Merger Vote
2025-08-27,APAD,Est. Split
2025-08-27,KOYN,Priced SPAC IPO
2025-08-27,MBVI,Priced SPAC IPO
2025-08-29,YDES,Listed De-SPAC
