date,ticker,action
2023-04-03,PTHR,Est. Split
2023-04-04,SAMA,Extension Vote
2023-04-06,HWKZ,Extension Vote
2023-04-10,ITAQ,Extension Vote
2023-04-11,BSGA,Merger Vote
2023-04-13,BTDR,Listed De-SPAC
2023-04-14,CIIG,Merger Vote
2023-04-14,FATP,Extension Vote
2023-04-14,GBRG,Merger Vote
2023-04-14,GTAC,Extension Vote
2023-04-14,SMAP,Extension Vote
2023-04-20,ENTF,Extension Vote
2023-04-20,ICNC,Extension Vote
2023-04-25,GRCY,Extension Vote
2023-04-25,LVAC,Extension Vote
2023-04-28,AACT,Priced SPAC IPO
2023-04-28,SBXC,Est. Split
2023-04-28,ZAPPF,Listed De-SPAC
