date,ticker,action
2024-03-04,ASCA,Merger Vote
2024-03-04,QTIH,Listed De-SPAC
2024-03-05,ADOC,Merger Vote
2024-03-05,DHCA,Merger Vote
2024-03-05,HCMA,Merger Vote
2024-03-06,ESAC,Merger Vote
2024-03-08,KWAC,Merger Vote
2024-03-08,XPDB,Merger Vote
2024-03-11,JVSA,Est. Split
2024-03-11,NMHI,Listed De-SPAC
2024-03-12,AIRJ,Extension Vote
2024-03-12,XPDB,Extension Vote
2024-03-13,ZEO,Listed De-SPAC
2024-03-14,AIRJ,Listed De-SPAC
2024-03-14,BNAI,Listed De-SPAC
2024-03-14,CFFS,Extension Vote
2024-03-14,GTIJF,Listed De-SPAC
2024-03-15,IVCP,Extension Vote
2024-03-18,FLFV,Extension Vote
2024-03-19,BCG,Listed De-SPAC
2024-03-20,MRNO,Listed De-SPAC
2024-03-21,BKHA,Priced SPAC IPO
2024-03-21,COOT,Listed De-SPAC
2024-03-22,DWAC,Merger Vote
2024-03-25,DJT,Listed De-SPAC
2024-03-25,TWOA,Merger Vote
2024-03-26,BWAQ,Extension Vote
2024-03-26,GCTS,Listed De-SPAC
2024-03-26,IBAC,Priced SPAC IPO
2024-03-27,KYCH,Merger Vote
2024-03-27,LPA,Listed De-SPAC
2024-03-27,VHAQ,Extension Vote
2024-03-28,ARRW,Merger Vote
2024-03-28,MCAF,Listed De-SPAC
2024-03-28,PEGR,Merger Vote
2024-03-28,ZPTA,Listed De-SPAC
2024-03-29,LEGT,Est. Split
