date,ticker,action
2022-03-01,VMCAF,Priced SPAC IPO
2022-03-02,KCAC,Priced SPAC IPO
2022-03-02,RGTI,Listed De-SPAC
2022-03-02,SHUA,Priced SPAC IPO
2022-03-02,SPCM,Priced SPAC IPO
2022-03-03,KYCH,Est. Split
2022-03-04,ITAQ,Est. Split
2022-03-04,VCXB,Est. Split
2022-03-05,GHIX,Est. Split
2022-03-05,WAVS,Est. Split
2022-03-07,ACAB,Est. Split
2022-03-07,CSLMF,Est. Split
2022-03-07,DRTS,Listed De-SPAC
2022-03-07,PPYA,Est. Split
2022-03-07,WNNR,Est. Split
2022-03-08,SPAQ,Extension Vote
2022-03-08,SPAQ,Merger Vote
2022-03-09,LBBB,Priced SPAC IPO
2022-03-09,LIVB,Est. Split
2022-03-10,PLAOF,Priced SPAC IPO
2022-03-11,BYN,Est. Split
2022-03-11,NUBI,Priced SPAC IPO
2022-03-11,TETEF,Est. Split
2022-03-13,DUET,Est. Split
2022-03-13,GAQ,Est. Split
2022-03-14,HCMA,Est. Split
2022-03-14,HMA,Est. Split
2022-03-14,KNSW,Est. Split
2022-03-15,BTNB,Extension Vote
2022-03-15,BTNB,Merger Vote
2022-03-15,MOTV,Merger Vote
2022-03-16,ALLGF,Listed De-SPAC
2022-03-16,BWAQ,Est. Split
2022-03-16,FMAC,Extension Vote
2022-03-16,FMAC,Merger Vote
2022-03-17,GDST,Priced SPAC IPO
2022-03-17,LATG,Est. Split
2022-03-18,PGRU,Listed De-SPAC
2022-03-21,ATAK,Est. Split
2022-03-21,FRGE,Listed De-SPAC
2022-03-22,TWNT,Extension Vote
2022-03-24,RFAC,Priced SPAC IPO
2022-03-25,ACAX,Est. Split
2022-03-25,AXAC,Est. Split
2022-03-25,LLAP,Listed De-SPAC
2022-03-25,SGHL,Est. Split
2022-03-27,MURF,Est. Split
2022-03-28,TGR,Est. Split
2022-03-29,HTPA,Extension Vote
2022-03-29,STRY,Listed De-SPAC
2022-03-30,GMBT,Merger Vote
2022-03-31,HLXA,Merger Vote
2022-03-31,PPGH,Extension Vote
2022-03-31,PPGH,Merger Vote
2022-03-31,RWOD,Priced SPAC IPO
2022-03-31,SWVL,Listed De-SPAC
