date,ticker,action
2022-06-02,CLRCF,Est. Split
2022-06-03,AFAR,Est. Split
2022-06-03,SVFC,Merger Vote
2022-06-07,DYNS,Merger Vote
2022-06-07,OACB,Merger Vote
2022-06-07,SYM,Listed De-SPAC
2022-06-09,GLAQ,Merger Vote
2022-06-09,SNTI,Listed De-SPAC
2022-06-09,TCAC,Merger Vote
2022-06-10,ACAC,Priced SPAC IPO
2022-06-10,AFRI,Listed De-SPAC
2022-06-14,ATA,Extension Vote
2022-06-14,DUNE,Extension Vote
2022-06-14,VGII,Merger Vote
2022-06-15,ALVO,Listed De-SPAC
2022-06-15,SBIG,Listed De-SPAC
2022-06-16,FLFV,Priced SPAC IPO
2022-06-16,GBBK,Est. Split
2022-06-16,GROV,Listed De-SPAC
2022-06-16,VTAQ,Extension Vote
2022-06-17,AIMTF,Est. Split
2022-06-17,EJFA,Merger Vote
2022-06-19,CHEA,Est. Split
2022-06-21,ACKIT,Extension Vote
2022-06-22,GGPI,Merger Vote
2022-06-22,PGY,Listed De-SPAC
2022-06-23,PSNY,Listed De-SPAC
2022-06-24,ASCBF,Est. Split
2022-06-24,NLIT,Extension Vote
2022-06-24,SKGR,Priced SPAC IPO
2022-06-27,RENEF,Est. Split
2022-06-27,RICO,Merger Vote
2022-06-27,YOTA,Est. Split
2022-06-28,ETAC,Extension Vote
2022-06-28,KAL,Listed De-SPAC
2022-06-28,NLIT,Merger Vote
2022-06-30,IVCAF,Est. Split
2022-06-30,VCKA,Extension Vote
