date,ticker,action
2021-09-01,CHAQ,Merger Vote
2021-09-01,CNDA,Priced SPAC IPO
2021-09-01,DTRT,Priced SPAC IPO
2021-09-01,GNPK,Merger Vote
2021-09-01,INAQ,Priced SPAC IPO
2021-09-01,OPAD,Listed De-SPAC
2021-09-01,SLGC,Listed De-SPAC
2021-09-02,ARYE,Est. Split
2021-09-02,GWII,Est. Split
2021-09-02,OXUS,Priced SPAC IPO
2021-09-02,RCOR,Listed De-SPAC
2021-09-02,RDW,Listed De-SPAC
2021-09-03,ARQQ,Listed De-SPAC
2021-09-03,DWAC,Priced SPAC IPO
2021-09-03,SOAC,Merger Vote
2021-09-04,CLAQ,Est. Split
2021-09-04,JATT,Est. Split
2021-09-04,UPTD,Est. Split
2021-09-05,APAC,Est. Split
2021-09-05,BSAQ,Est. Split
2021-09-05,TWCB,Est. Split
2021-09-07,BNNR,Priced SPAC IPO
2021-09-09,BKSY,Listed De-SPAC
2021-09-09,CLOE,Est. Split
2021-09-09,CRXT,Listed De-SPAC
2021-09-09,FHLT,Priced SPAC IPO
2021-09-09,FLAG,Priced SPAC IPO
2021-09-09,RICE,Merger Vote
2021-09-09,SLVR,Priced SPAC IPO
2021-09-09,TMC,Listed De-SPAC
2021-09-09,TRTLF,Est. Split
2021-09-10,BNIX,Priced SPAC IPO
2021-09-10,CLAY,Est. Split
2021-09-10,PFTA,Est. Split
2021-09-10,QELL,Merger Vote
2021-09-13,BLNG,Est. Split
2021-09-13,PAFO,Priced SPAC IPO
2021-09-14,ACIC,Merger Vote
2021-09-14,EDNC,Priced SPAC IPO
2021-09-14,LILMF,Listed De-SPAC
2021-09-14,PACE,Merger Vote
2021-09-14,SIER,Priced SPAC IPO
2021-09-14,SRNG,Merger Vote
2021-09-14,WINV,Priced SPAC IPO
2021-09-15,AEHA,Priced SPAC IPO
2021-09-15,CIIG,Priced SPAC IPO
2021-09-15,DEH,Merger Vote
2021-09-15,LFG,Listed De-SPAC
2021-09-15,ROT,Merger Vote
2021-09-16,ACHR,Listed De-SPAC
2021-09-16,ALPA,Est. Split
2021-09-16,DNA,Listed De-SPAC
2021-09-16,FLYA,Priced SPAC IPO
2021-09-16,WRAC,Est. Split
2021-09-17,DALS,Est. Split
2021-09-17,PLMJF,Est. Split
2021-09-17,SEPA,Est. Split
2021-09-18,IMAQ,Est. Split
2021-09-18,MTAL,Est. Split
2021-09-18,SWAG,Est. Split
2021-09-20,NRDY,Listed De-SPAC
2021-09-20,RBOT,Listed De-SPAC
2021-09-20,ZLSSF,Est. Split
2021-09-21,FUSE2,Merger Vote
2021-09-21,HHGC,Priced SPAC IPO
2021-09-22,ARGU,Priced SPAC IPO
2021-09-22,IPAX,Priced SPAC IPO
2021-09-22,ML,Listed De-SPAC
2021-09-23,HWEL,Est. Split
2021-09-23,LOCC,Priced SPAC IPO
2021-09-24,DSAQ,Priced SPAC IPO
2021-09-24,GIA,Priced SPAC IPO
2021-09-24,JSPR,Listed De-SPAC
2021-09-24,PDYN,Listed De-SPAC
2021-09-25,AMCI2,Est. Split
2021-09-25,BWC,Est. Split
2021-09-25,GSDI,Est. Split
2021-09-26,NOVV,Est. Split
2021-09-26,ROCG,Est. Split
2021-09-26,RVAC,Est. Split
2021-09-28,BACA,Priced SPAC IPO
2021-09-28,CAHC,Merger Vote
2021-09-28,DMYI,Merger Vote
2021-09-28,LMDXF,Listed De-SPAC
2021-09-28,MAAC,Merger Vote
2021-09-28,PRBM,Priced SPAC IPO
2021-09-28,PTK,Merger Vote
2021-09-28,SPFR,Merger Vote
2021-09-28,STPC,Merger Vote
2021-09-29,BHILQ,Listed De-SPAC
2021-09-29,CTAC,Merger Vote
2021-09-29,HCVI,Priced SPAC IPO
2021-09-29,MEKA,Priced SPAC IPO
2021-09-29,PROCF,Listed De-SPAC
2021-09-29,SHPWQ,Listed De-SPAC
2021-09-29,VELO,Listed De-SPAC
2021-09-29,VLN,Listed De-SPAC
2021-09-30,AHPA,Est. Split
2021-09-30,ARTE,Priced SPAC IPO
2021-09-30,ASPA,Est. Split
2021-09-30,CPAA,Est. Split
2021-09-30,HPLT,Priced SPAC IPO
2021-09-30,IONQ,Listed De-SPAC
2021-09-30,KCAC,Merger Vote
2021-09-30,KORE,Listed De-SPAC
2021-09-30,ROIV,Listed De-SPAC
