date,ticker,volume
2020-10-27,ACIC,40294
2020-10-28,ACIC,88228
2020-10-29,ACIC,51421
2020-10-30,ACIC,63355
2020-11-02,ACIC,43593
2020-11-03,ACIC,74598
2020-11-04,ACIC,66928
2020-11-05,ACIC,36295
2020-11-06,ACIC,64777
2020-11-09,ACIC,105880
2020-11-10,ACIC,98407
2020-11-11,ACIC,73617
2020-11-12,ACIC,94625
2020-11-12,PMVC,55907
2020-11-13,ACIC,91732
2020-11-13,ASPL,100
2020-11-13,PMVC,100400
2020-11-16,ACIC,100072
2020-11-16,ASPL,201816
2020-11-16,PMVC,5600
2020-11-17,ACIC,132663
2020-11-17,ASPL,182
2020-11-17,PMVC,6081
2020-11-18,ACIC,461847
2020-11-18,ASPL,534
2020-11-18,PMVC,1
2020-11-19,ACIC,299756
2020-11-19,ASPL,480
2020-11-19,PMVC,1000
2020-11-20,ACIC,366917
2020-11-20,ASPL,759
2020-11-20,PMVC,9003
2020-11-23,ACIC,177355
2020-11-23,ASPL,180609
2020-11-23,PMVC,7397
2020-11-24,ACIC,372173
2020-11-24,ASPL,19352
2020-11-24,PMVC,0
2020-11-25,ACIC,147353
2020-11-25,ASPL,1400
2020-11-25,PMVC,103096
2020-11-27,ACIC,93227
2020-11-27,ASPL,26701
2020-11-27,PMVC,3031
2020-11-30,ACIC,448974
2020-11-30,ASPL,712
2020-11-30,PMVC,336
2020-12-01,ACIC,201594
2020-12-01,ASPL,3828
2020-12-01,PMVC,24955
2020-12-02,ACIC,164278
2020-12-02,ASPL,377067
2020-12-02,PMVC,58437
2020-12-03,ACIC,81674
2020-12-03,ASPL,481
2020-12-03,PMVC,16360
2020-12-04,ACIC,155898
2020-12-04,ASPL,2029
2020-12-04,PMVC,272360
2020-12-07,ACIC,114638
2020-12-07,ASPL,746
2020-12-07,PMVC,192555
2020-12-08,ACIC,116180
2020-12-08,ASPL,14493
2020-12-08,PMVC,120101
2020-12-09,ACIC,83755
2020-12-09,ASPL,4894
2020-12-09,PMVC,14463
2020-12-10,ACIC,108555
2020-12-10,ASPL,2404
2020-12-10,PMVC,32111
2020-12-11,ACIC,306864
2020-12-11,ASPL,45940
2020-12-11,PMVC,62812
2020-12-14,ACIC,324588
2020-12-14,ASPL,28652
2020-12-14,PMVC,110786
2020-12-15,ACIC,197567
2020-12-15,ASPL,214937
2020-12-15,PMVC,30894
2020-12-16,ACIC,148496
2020-12-16,ASPL,30835
2020-12-16,PMVC,4194
2020-12-17,ACIC,139024
2020-12-17,ASPL,7838
2020-12-17,PMVC,23850
2020-12-18,ACIC,567813
2020-12-18,ASPL,87555
2020-12-18,PMVC,8500
2020-12-21,ACIC,141662
2020-12-21,ASPL,6673
2020-12-21,PMVC,86300
2020-12-22,ACIC,188541
2020-12-22,ASPL,15053
2020-12-22,PMVC,11958
2020-12-23,ACIC,171787
2020-12-23,ASPL,30125
2020-12-23,PMVC,17191
2020-12-24,ACIC,136049
2020-12-24,ASPL,4167
2020-12-24,PMVC,408
2020-12-28,ACIC,276604
2020-12-28,ASPL,243169
2020-12-28,PMVC,171115
2020-12-29,ACIC,172811
2020-12-29,ASPL,94859
2020-12-29,PMVC,107260
2020-12-30,ACIC,96783
2020-12-30,ASPL,25719
2020-12-30,PMVC,70636
2020-12-31,ACIC,146722
2020-12-31,ASPL,86325
2020-12-31,PMVC,18007
2021-01-04,ACIC,174302
2021-01-04,ASPL,35177
2021-01-04,PMVC,182023
2021-01-05,ACIC,127732
2021-01-05,ASPL,18214
2021-01-05,PMVC,129908
2021-01-06,ACIC,180328
2021-01-06,ASPL,60698
2021-01-06,PMVC,24587
2021-01-07,ACIC,160896
2021-01-07,ASPL,9176
2021-01-07,PMVC,5385
2021-01-08,ACIC,72434
2021-01-08,ASPL,114515
2021-01-08,PMVC,15489
2021-01-11,ACIC,121761
2021-01-11,ASPL,72748
2021-01-11,PMVC,31346
2021-01-12,ACIC,112275
2021-01-12,ASPL,8129
2021-01-12,PMVC,79477
2021-01-13,ACIC,85308
2021-01-13,ASPL,50806
2021-01-13,PMVC,45248
2021-01-14,ACIC,84901
2021-01-14,ASPL,46320
2021-01-14,PMVC,114563
2021-01-15,ACIC,98397
2021-01-15,ASPL,154396
2021-01-15,PMVC,31567
2021-01-19,ACIC,110197
2021-01-19,ASPL,119718
2021-01-19,PMVC,120838
2021-01-20,ACIC,101401
2021-01-20,ASPL,24463
2021-01-20,PMVC,16213
2021-01-21,ACIC,116949
2021-01-21,ASPL,45047
2021-01-21,PMVC,8182
2021-01-22,ACIC,103940
2021-01-22,ASPL,63736
2021-01-22,PMVC,44845
2021-01-25,ACIC,108305
2021-01-25,ASPL,109652
2021-01-25,PMVC,57737
2021-01-26,ACIC,94887
2021-01-26,ASPL,1687536
2021-01-26,PMVC,39199
2021-01-27,ACIC,125838
2021-01-27,ASPL,522880
2021-01-27,PMVC,148798
2021-01-28,ACIC,154596
2021-01-28,ASPL,399374
2021-01-28,PMVC,224699
2021-01-29,ACIC,101069
2021-01-29,ASPL,287893
2021-01-29,PMVC,3386
2021-02-01,ACIC,99112
2021-02-01,ASPL,11760607
2021-02-01,PMVC,26097
2021-02-02,ACIC,111691
2021-02-02,ASPL,4648486
2021-02-02,PMVC,41695
2021-02-03,ACIC,53257
2021-02-03,ASPL,1477326
2021-02-03,PMVC,12635
2021-02-04,ACIC,60263
2021-02-04,ASPL,1128712
2021-02-04,PMVC,5219
2021-02-05,ACIC,85538
2021-02-05,ASPL,1415839
2021-02-05,PMVC,3438
2021-02-08,ACIC,64921
2021-02-08,ASPL,1454247
2021-02-08,PMVC,89027
2021-02-09,ACIC,88877
2021-02-09,ASPL,1639652
2021-02-09,PMVC,20422
2021-02-10,ACIC,61150
2021-02-10,ASPL,934010
2021-02-10,PMVC,10036
2021-02-11,ACIC,80926
2021-02-11,ASPL,467473
2021-02-11,PMVC,2430
2021-02-12,ACIC,144540
2021-02-12,ASPL,721714
2021-02-12,PMVC,2566
2021-02-16,ACIC,130984
2021-02-16,ASPL,705204
2021-02-16,PMVC,15678
2021-02-17,ACIC,78546
2021-02-17,ASPL,563035
2021-02-17,PMVC,23595
2021-02-18,ACIC,64960
2021-02-18,ASPL,469359
2021-02-18,PMVC,13852
2021-02-19,ACIC,238510
2021-02-19,ASPL,442093
2021-02-19,PMVC,28000
2021-02-22,ACIC,214706
2021-02-22,ASPL,538142
2021-02-22,PMVC,5660
2021-02-23,ACIC,95064
2021-02-23,ASPL,1000399
2021-02-23,PMVC,7096
2021-02-24,ACIC,197217
2021-02-24,ASPL,872006
2021-02-24,PMVC,49875
2021-02-25,ACIC,256617
2021-02-25,ASPL,1428173
2021-02-25,PMVC,24428
2021-02-26,ACIC,205493
2021-02-26,ASPL,1053215
2021-02-26,PMVC,16361
2021-03-01,ACIC,234972
2021-03-01,ASPL,1117593
2021-03-01,PMVC,13829
2021-03-02,ACIC,160865
2021-03-02,ASPL,1690462
2021-03-02,PMVC,10674
2021-03-03,ACIC,156967
2021-03-03,ASPL,1661909
2021-03-03,PMVC,18224
2021-03-04,ACIC,232284
2021-03-04,ASPL,2517119
2021-03-04,PMVC,684695
2021-03-05,ACIC,178270
2021-03-05,ASPL,771487
2021-03-05,PMVC,3763
2021-03-08,ACIC,292529
2021-03-08,ASPL,908208
2021-03-08,PMVC,6186
2021-03-09,ACIC,134376
2021-03-09,ASPL,363081
2021-03-09,PMVC,12161
2021-03-10,ACIC,115372
2021-03-10,ASPL,730106
2021-03-10,PMVC,25500
2021-03-11,ACIC,123013
2021-03-11,ASPL,391434
2021-03-11,PMVC,8859
2021-03-12,ACIC,114140
2021-03-12,ASPL,270608
2021-03-12,PMVC,85179
2021-03-15,ACIC,121077
2021-03-15,ASPL,381128
2021-03-15,PMVC,2291
2021-03-16,ACIC,90680
2021-03-16,ASPL,167502
2021-03-16,PMVC,3835
2021-03-17,ACIC,114563
2021-03-17,ASPL,401855
2021-03-17,PMVC,4085
2021-03-18,ACIC,113546
2021-03-18,ASPL,851239
2021-03-18,PMVC,203802
2021-03-19,ACIC,363868
2021-03-19,ASPL,285228
2021-03-19,CSTAF,9543
2021-03-19,PMVC,970
2021-03-22,ACIC,130651
2021-03-22,ASPL,215997
2021-03-22,BLUAF,29706
2021-03-22,CSTAF,11825
2021-03-22,PMVC,1042
2021-03-23,ACIC,77536
2021-03-23,ASPL,363439
2021-03-23,BLUAF,32399
2021-03-23,CSTAF,19827
2021-03-23,PMVC,29205
2021-03-24,ACIC,120110
2021-03-24,ASPL,522765
2021-03-24,BLUAF,15004
2021-03-24,CSTAF,27702
2021-03-24,PMVC,19712
2021-03-25,ACIC,98913
2021-03-25,ASPL,380437
2021-03-25,BLUAF,38745
2021-03-25,CSTAF,45828
2021-03-25,PMVC,104
2021-03-26,ACIC,75887
2021-03-26,ASPL,413320
2021-03-26,BLUAF,305
2021-03-26,CSTAF,5204
2021-03-26,PMVC,49228
2021-03-26,PUCK,22686
2021-03-29,ACIC,113880
2021-03-29,ASPL,323538
2021-03-29,BLUAF,112
2021-03-29,CSTAF,7302
2021-03-29,PMVC,5704
2021-03-29,PUCK,5492
2021-03-30,ACIC,57629
2021-03-30,ASPL,707265
2021-03-30,BLUAF,64559
2021-03-30,CSTAF,5002
2021-03-30,PMVC,1146
2021-03-30,PUCK,164500
2021-03-31,ACIC,249096
2021-03-31,ASPL,1819648
2021-03-31,BLUAF,97775
2021-03-31,CSTAF,41593
2021-03-31,PMVC,6600
2021-03-31,PUCK,117302
2021-04-01,ACIC,106288
2021-04-01,ASPL,1315947
2021-04-01,BLUAF,5846
2021-04-01,CSTAF,24493
2021-04-01,PMVC,19235
2021-04-01,PUCK,132241
2021-04-05,ACIC,94340
2021-04-05,ASPL,217940
2021-04-05,BLUAF,160
2021-04-05,CSTAF,603
2021-04-05,PMVC,1372
2021-04-05,PUCK,60341
2021-04-06,ACIC,187810
2021-04-06,ASPL,175353
2021-04-06,BLUAF,13564
2021-04-06,CSTAF,14845
2021-04-06,PMVC,86
2021-04-06,PUCK,11556
2021-04-07,ACIC,57032
2021-04-07,ASPL,323992
2021-04-07,BLUAF,24078
2021-04-07,CSTAF,631
2021-04-07,PMVC,559
2021-04-07,PUCK,42558
2021-04-08,ACIC,87138
2021-04-08,ASPL,584003
2021-04-08,BLUAF,26744
2021-04-08,CSTAF,1853
2021-04-08,PMVC,28637
2021-04-08,PUCK,479459
2021-04-09,ACIC,107573
2021-04-09,ASPL,202013
2021-04-09,BLUAF,5248
2021-04-09,CSTAF,18320
2021-04-09,PMVC,112660
2021-04-09,PUCK,57402
2021-04-12,ACIC,141200
2021-04-12,ASPL,466304
2021-04-12,BLUAF,11840
2021-04-12,CSTAF,3105
2021-04-12,PMVC,50080
2021-04-12,PUCK,38118
2021-04-13,ACIC,64219
2021-04-13,ASPL,449844
2021-04-13,BLUAF,1860
2021-04-13,CSTAF,2948
2021-04-13,PMVC,54592
2021-04-13,PUCK,195516
2021-04-14,ACIC,44052
2021-04-14,ASPL,246032
2021-04-14,BLUAF,246672
2021-04-14,CSTAF,27397
2021-04-14,PMVC,12242
2021-04-14,PUCK,1215402
2021-04-15,ACIC,55605
2021-04-15,ASPL,235188
2021-04-15,BLUAF,301998
2021-04-15,CSTAF,3961
2021-04-15,PMVC,430
2021-04-15,PUCK,466402
2021-04-16,ACIC,68753
2021-04-16,ASPL,322909
2021-04-16,BLUAF,2930
2021-04-16,CSTAF,102589
2021-04-16,PMVC,814
2021-04-16,PUCK,28951
2021-04-16,SLAMF,12903
2021-04-19,ACIC,140328
2021-04-19,ASPL,554384
2021-04-19,BLUAF,32
2021-04-19,CSTAF,164941
2021-04-19,PMVC,4077
2021-04-19,PUCK,46167
2021-04-19,SLAMF,42138
2021-04-20,ACIC,177335
2021-04-20,ASPL,269713
2021-04-20,BLUAF,4965
2021-04-20,CSTAF,81298
2021-04-20,PMVC,3691
2021-04-20,PUCK,167962
2021-04-20,SLAMF,210036
2021-04-21,ACIC,82687
2021-04-21,ASPL,334239
2021-04-21,BLUAF,4222
2021-04-21,CSTAF,72
2021-04-21,PMVC,16241
2021-04-21,PUCK,67920
2021-04-21,SLAMF,21055
2021-04-22,ACIC,128208
2021-04-22,ASPL,1028980
2021-04-22,BLUAF,22370
2021-04-22,CSTAF,187
2021-04-22,PMVC,10843
2021-04-22,PUCK,149816
2021-04-22,SLAMF,40264
2021-04-23,ACIC,106836
